ligand	enzyme	model	affinity	dist.rmsd.lb	dist.rmsd.ub	inter	intra	inter_intra	unbound	variant	ZINC	InChI	SMILES	CAS	model_3D	carbon_chain_lenght	term_function	unsaturation_position	unsaturation_orientation	unsaturation2_position	unsaturation2_orientation	chain_name	species	gene	allele
14	Z11-16Ac	HvirCXE24_noSP	14	-5.226	2.263	4.814	-9.668	-1.355	-11.023	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
15	Z11-16Ac	HvirCXE24_noSP	15	-5.198	2.629	5.282	-8.111	-2.859	-10.97	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
16	Z11-16Ac	HvirCXE24_noSP	16	-5.137	2.484	4.857	-8.628	-2.227	-10.855	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
17	Z11-16Ac	HvirCXE24_noSP	17	-5.13	2.219	4.948	-8.542	-2.3	-10.841	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
18	Z11-16Ac	HvirCXE24_noSP	18	-5.119	3.105	5.332	-8.458	-2.363	-10.821	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
19	Z11-16Ac	HvirCXE24_noSP	19	-5.107	2.276	4.612	-9.053	-1.746	-10.799	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
20	Z11-16Ac	HvirCXE24_noSP	20	-5.09	3.614	5.276	-9.288	-1.479	-10.768	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
21	Z11-16Ac	HvirCXE24_noSP	21	-5.073	1.566	4.417	-8.306	-2.428	-10.734	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
22	Z11-16Ac	HvirCXE24_noSP	22	-5.069	1.675	4.328	-9.031	-1.697	-10.728	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
23	Z11-16Ac	HvirCXE24_noSP	23	-5.055	1.634	3.103	-8.607	-2.094	-10.701	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
24	Z11-16Ac	HvirCXE24_noSP	24	-5.04	2.783	5.388	-8.545	-2.128	-10.673	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
25	Z11-16Ac	HvirCXE24_noSP	25	-5.04	2.274	4.653	-8.596	-2.077	-10.673	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
26	Z11-16Ac	HvirCXE24_noSP	26	-5.031	3.192	4.663	-8.561	-2.096	-10.656	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
27	Z11-16Ac	HvirCXE24_noSP	27	-5.022	2.882	5.351	-8.86	-1.779	-10.638	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
28	Z11-16Ac	HvirCXE24_noSP	28	-5.01	3.455	5.391	-8.213	-2.405	-10.617	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
29	Z11-16Ac	HvirCXE24_noSP	29	-5.01	2.214	4.711	-8.685	-1.932	-10.617	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
30	Z11-16Ac	HvirCXE24_noSP	30	-5.01	2.889	5.287	-8.332	-2.284	-10.616	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
31	Z11-16Ac	HvirCXE24_noSP	31	-4.892	2.708	5.305	-8.829	-1.566	-10.395	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
32	Z11-16Ac	HvirCXE24_noSP	32	-4.882	3.486	5.889	-7.391	-2.986	-10.376	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
33	Z11-16Ac	HvirCXE24_noSP	33	-4.817	2.055	4.6	-8.294	-1.96	-10.255	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
